feature_idx,feature_name,target,feature_type,pearson_r,pearson_p,spearman_r,spearman_p,n_valid,pearson_significant,spearman_significant
84,left_second_finger_pip_x,left_right,raw_std,-0.014733721972330296,0.7850927990363046,-0.08315746400149698,0.123159420445146,345,False,False
85,left_second_finger_pip_y,angle,raw_mean,0.2717918302477209,2.946825765679568e-07,0.1288400207520268,0.016647599832525995,345,True,True
85,left_second_finger_pip_y,angle,raw_std,-0.192095547733068,0.0003325301013050151,-0.3292346957166652,3.640914413357763e-10,345,True,True
85,left_second_finger_pip_y,depth,raw_mean,-0.06580707546994374,0.22276903004604245,-0.05685068691189183,0.29235284502018577,345,False,False
85,left_second_finger_pip_y,depth,raw_std,0.060935823257484596,0.2589930944443243,0.07463977734819298,0.16658177401823843,345,False,False
85,left_second_finger_pip_y,left_right,raw_mean,0.040419110569709774,0.45425941170482687,-0.009599700286117029,0.8589872557265894,345,False,False
85,left_second_finger_pip_y,left_right,raw_std,0.07770750192213013,0.14978447437154707,0.031201108088346634,0.563552960640513,345,False,False
86,left_second_finger_pip_z,angle,raw_mean,-0.0014386776538555766,0.9787586070225998,-0.025735916992566863,0.6338125905846268,345,False,False
86,left_second_finger_pip_z,angle,raw_std,-0.2727150966321417,2.6763258558490555e-07,-0.3488028940411049,2.6338528743236068e-11,345,True,True
86,left_second_finger_pip_z,depth,raw_mean,0.14101468581492538,0.00871991272771857,0.1867164826279486,0.0004898877177289513,345,True,True
86,left_second_finger_pip_z,depth,raw_std,0.18864255865014357,0.00042694272727383353,0.19913594051415673,0.00019709309583612513,345,True,True
86,left_second_finger_pip_z,left_right,raw_mean,0.013709445309875185,0.7997046088162708,-0.009803824874005815,0.8560210880996397,345,False,False
86,left_second_finger_pip_z,left_right,raw_std,-0.022953733538772954,0.670942129274052,-0.0005067316183237773,0.9925175771675125,345,False,False
87,left_second_finger_dip_x,angle,raw_mean,0.25180273658225794,2.1734333251393927e-06,0.3334272131112915,2.106352108094571e-10,345,True,True
87,left_second_finger_dip_x,angle,raw_std,-0.16324473132815864,0.00235355489860303,-0.09773155045088237,0.06982606236556446,345,True,False
87,left_second_finger_dip_x,depth,raw_mean,0.00670737220516881,0.9012098431171649,0.02208242939026956,0.6827420824981777,345,False,False
87,left_second_finger_dip_x,depth,raw_std,0.07509012026455511,0.16403124196253435,0.03450057222864095,0.5230284174371208,345,False,False
87,left_second_finger_dip_x,left_right,raw_mean,-0.05436335900709988,0.3140142416366507,-0.013659544004434834,0.8004183071703331,345,False,False
87,left_second_finger_dip_x,left_right,raw_std,-0.05959763276087602,0.2696187628488997,-0.11835134838808915,0.027946884165169286,345,False,False
88,left_second_finger_dip_y,angle,raw_mean,0.12642230735362697,0.01881882201602915,0.14997605882943857,0.005248441660668271,345,False,True
88,left_second_finger_dip_y,angle,raw_std,-0.15703954028889586,0.0034505430429082246,-0.2144019759620405,5.952915179571598e-05,345,True,True
88,left_second_finger_dip_y,depth,raw_mean,0.006976422040285757,0.8972685700534969,0.008183689402085604,0.8796158940276677,345,False,False
88,left_second_finger_dip_y,depth,raw_std,0.020410282334528233,0.7056031975108586,-0.031244367668548854,0.5630120418722331,345,False,False
88,left_second_finger_dip_y,left_right,raw_mean,0.05111620085036906,0.34383525091955,0.024819696022481658,0.6459447432269891,345,False,False
88,left_second_finger_dip_y,left_right,raw_std,0.08886113304018435,0.09939508916994406,0.04433156466776694,0.41173884011535616,345,False,False
89,left_second_finger_dip_z,angle,raw_mean,0.030355979202907158,0.5741701845633234,0.012524366735253603,0.816697544287868,345,False,False
89,left_second_finger_dip_z,angle,raw_std,-0.2525500088861986,2.0229252918830307e-06,-0.31317109885286437,2.747477758197676e-09,345,True,True
89,left_second_finger_dip_z,depth,raw_mean,0.13148414214556473,0.01452682048003152,0.18258921833206862,0.0006548233323388057,345,True,True
89,left_second_finger_dip_z,depth,raw_std,0.2026201399632074,0.00015112059912351832,0.21734920693600632,4.677076152437711e-05,345,True,True
89,left_second_finger_dip_z,left_right,raw_mean,0.008145499533079425,0.8801734423900852,-0.02153258855868147,0.6902286575866009,345,False,False
89,left_second_finger_dip_z,left_right,raw_std,-0.008017883081684492,0.8820369908425008,0.017450971926079986,0.7467061161840423,345,False,False
90,left_second_finger_distal_x,angle,raw_mean,0.21289028669739965,6.728323630460068e-05,0.2656825436010422,5.52278876004483e-07,345,True,True
