target,config,lopo_mse,vs_baseline
depth,right_wrist+right_elbow_f140,0.02616107449813853,-58.67104643272321
depth,right_wrist+right_elbow_f150,0.01994830876183936,-20.989641538971608
depth,right_wrist+right_elbow_f160,0.024736323706966032,-50.02970798321586
depth,right_wrist+right_shoulder_f140,0.026615863937559485,-61.429416172643826
depth,right_wrist+right_shoulder_f150,0.02095295687185566,-27.0829909128395
depth,right_wrist+right_shoulder_f160,0.02893847576591965,-75.51642354266413
depth,right_elbow+right_shoulder_f140,0.0208714223362308,-26.588471083811722
depth,right_elbow+right_shoulder_f150,0.028767984539928234,-74.48236734449152
depth,right_elbow+right_shoulder_f160,0.025423156713665167,-54.19545858742899
depth,right_wrist+left_wrist_f140,0.04991031336408082,-202.71392904092397
depth,right_wrist+left_wrist_f150,0.04844407957825282,-193.82098968062
depth,right_wrist+left_wrist_f160,0.032692710768524966,-98.28645145035304
depth,right_hip+right_knee_f140,0.028073644755287234,-70.27108694709429
depth,right_hip+right_knee_f150,0.028713364861140372,-74.15109037076837
depth,right_hip+right_knee_f160,0.02687830143799819,-63.02114103932546
depth,right_shoulder+right_hip_f140,0.021849758904259612,-32.52223680217226
depth,right_shoulder+right_hip_f150,0.026160014785961857,-58.66461911109304
depth,right_shoulder+right_hip_f160,0.02575845789733636,-56.229113194659455
depth,arm_chain_f140,0.026123035397004283,-58.44033327976151
depth,arm_chain_f150,0.021856331069759437,-32.56209802336409
depth,arm_chain_f160,0.027667146892911446,-67.80561324491816
depth,body_alignment_f140,0.07540205307314114,-357.3253543214494
depth,body_alignment_f150,0.07687459469661916,-366.25655171281124
depth,body_alignment_f160,0.037104839404202866,-125.04670809304596
depth,body_alignment_f170,0.02050915624631052,-24.39127006369186
depth,right_wrist_multiframe_140,0.022671189257461602,-37.50434155950688
depth,right_wrist_multiframe_150,0.03564308336444293,-116.18092696946995
depth,right_elbow_multiframe_140,0.020153350381187447,-22.23325132673227
depth,right_elbow_multiframe_150,0.03586502443499816,-117.52703459642933
left_right,right_wrist_f100,0.014042383519344163,0.1784890131805876
left_right,right_wrist_f110,0.014209481752756952,-1.0093433885990062
left_right,right_wrist_f120,0.014504064248218675,-3.1034088132293176
left_right,right_wrist_f130,0.016182597535178596,-15.035409439419112
left_right,right_wrist_f140,0.016176898264996426,-14.994895679036297
left_right,right_wrist_f150,0.01760510092291896,-25.147399142057875
left_right,right_wrist_f160,0.01610950133318853,-14.515798696699072
left_right,right_wrist_f170,0.015561910088193399,-10.623198455203847
left_right,right_wrist_f180,0.014749563084209273,-4.848558753075954
left_right,right_elbow_f100,0.014355671557873446,-2.048546399789705
left_right,right_elbow_f110,0.01392900069515806,0.9844807320806236
left_right,right_elbow_f120,0.014417472381312331,-2.4878629565124997
left_right,right_elbow_f130,0.016489486128118538,-17.216953833907684
left_right,right_elbow_f140,0.015604677186718359,-10.927212114238495
left_right,right_elbow_f150,0.014995467053202259,-6.596588616291241
left_right,right_elbow_f160,0.015704827345066456,-11.639138271083922
left_right,right_elbow_f170,0.015665029014483554,-11.356228358527726
left_right,right_elbow_f180,0.015736814847173746,-11.86652422651273
left_right,right_shoulder_f100,0.01476564701894685,-4.9628928093924385
left_right,right_shoulder_f110,0.01499894168561269,-6.621288344571359
left_right,right_shoulder_f120,0.014786035194564557,-5.1078239383293775
left_right,right_shoulder_f130,0.015214523584122248,-8.153771118666414
left_right,right_shoulder_f140,0.015463717492506208,-9.92518780368512
left_right,right_shoulder_f150,0.0170387226088573,-21.12124937753111
left_right,right_shoulder_f160,0.017379854091005464,-23.54621234384619
left_right,right_shoulder_f170,0.01943102467220761,-38.12713775620622
left_right,right_shoulder_f180,0.023331283550653052,-65.85246899714963
left_right,left_wrist_f100,0.014054411845253226,0.09298460680751512
left_right,left_wrist_f110,0.013830299486365815,1.6861069043251786
left_right,left_wrist_f120,0.014404815720264228,-2.3978919748675906
left_right,left_wrist_f130,0.015815378257135394,-12.4249990951022
left_right,left_wrist_f140,0.015100759059538183,-7.345066049115028
left_right,left_wrist_f150,0.01498475481066213,-6.520439703612718
left_right,left_wrist_f160,0.014909752257407516,-5.987277496254437
left_right,left_wrist_f170,0.014903305894807505,-5.941452964100364
left_right,left_wrist_f180,0.014724623214486686,-4.671271508635321
left_right,left_elbow_f100,0.014144438545113047,-0.5469780602699569
left_right,left_elbow_f110,0.013874281946596108,1.3734537403478877
left_right,left_elbow_f120,0.015290552788437597,-8.694231364851047
left_right,left_elbow_f130,0.014317450599513426,-1.776849375591088
left_right,left_elbow_f140,0.014523067020081298,-3.2384916784460227
left_right,left_elbow_f150,0.015488890136421725,-10.10412974382787
left_right,left_elbow_f160,0.015126355663845672,-7.527021748771391
left_right,left_elbow_f170,0.015352552641430407,-9.134962740559267
left_right,left_elbow_f180,0.015129392825830212,-7.548611680280584
left_right,left_shoulder_f100,0.01447413351619658,-2.890643587776578
left_right,left_shoulder_f110,0.014343662913147655,-1.9631818988286642
left_right,left_shoulder_f120,0.014381748690077563,-2.233917974012281
left_right,left_shoulder_f130,0.014332223558542837,-1.881864246466162
left_right,left_shoulder_f140,0.014881020766407103,-5.783037180455161
left_right,left_shoulder_f150,0.016275088666233877,-15.692890731117185
left_right,left_shoulder_f160,0.01552856365243124,-10.386152401076485
left_right,left_shoulder_f170,0.01577581147670618,-12.143735177058144
left_right,left_shoulder_f180,0.020844698969765766,-48.176365099348615
left_right,right_hip_f100,0.016562828601548917,-17.73831521869295
left_right,right_hip_f110,0.015209087413475238,-8.115127624332336
