target,config,lopo_mse,vs_baseline
depth,mid_hip_f120,0.017375907029025965,-5.387618968381298
depth,mid_hip_f130,0.01847315606751421,-12.042607590756779
depth,mid_hip_f140,0.01957615071148134,-18.732444217322186
depth,mid_hip_f150,0.027363990742298505,-65.96692333737272
depth,mid_hip_f160,0.024090841063661505,-46.11475386026586
depth,mid_hip_f170,0.020963725524296532,-27.148304489756427
depth,mid_hip_f180,0.028743227324557915,-74.33221092527226
depth,right_wrist_f120_vel3,0.022735736968693538,-37.895833617172066
depth,right_wrist_f120_vel5,0.023445144824598564,-42.19850424532437
depth,right_wrist_f120_vel10,0.027034412445049557,-63.96797893966739
depth,right_wrist_f140_vel3,0.040574988333623684,-146.09370912306
depth,right_wrist_f140_vel5,0.043167839718764645,-161.81976206305393
depth,right_wrist_f140_vel10,0.03080150531946723,-86.81599186955061
depth,right_wrist_f150_vel3,0.019375540592352667,-17.515712177917433
depth,right_wrist_f150_vel5,0.028112325627563224,-70.5056925433361
depth,right_wrist_f150_vel10,0.06079542380288219,-268.733842098519
depth,right_wrist_f160_vel3,0.028299480240289478,-71.64081481241945
depth,right_wrist_f160_vel5,0.025785524228781415,-56.39327476737266
depth,right_wrist_f160_vel10,0.02198961520196292,-33.370487324465195
depth,right_elbow_f120_vel3,0.030020159100182083,-82.07700371181849
depth,right_elbow_f120_vel5,0.032367132415288026,-96.31176734448331
depth,right_elbow_f120_vel10,0.02895727639046649,-75.63045229827385
depth,right_elbow_f140_vel3,0.024170502331764057,-46.59791202607014
depth,right_elbow_f140_vel5,0.022871343508677883,-38.718308688062905
depth,right_elbow_f140_vel10,0.02190308955380906,-32.84569561008744
depth,right_elbow_f150_vel3,0.06012796445953162,-264.6855958207039
depth,right_elbow_f150_vel5,0.06362137748665306,-285.8736972755775
depth,right_elbow_f150_vel10,0.058414723734816,-254.29452038528447
depth,right_elbow_f160_vel3,0.0217346702798749,-31.824206128205702
depth,right_elbow_f160_vel5,0.022182103622436868,-34.53795997949534
depth,right_elbow_f160_vel10,0.025159996137477093,-52.59934815218783
depth,left_wrist_f120_vel3,0.03039674291557789,-84.36104399704193
depth,left_wrist_f120_vel5,0.027239321349701643,-65.21078379184742
depth,left_wrist_f120_vel10,0.027025296836642478,-63.91269133575322
depth,left_wrist_f140_vel3,0.032970303841499266,-99.97009725681416
depth,left_wrist_f140_vel5,0.033381804285352604,-102.46591240532364
depth,left_wrist_f140_vel10,0.030799891512731666,-86.80620387695535
depth,left_wrist_f150_vel3,0.023115524707517106,-40.199306203733485
depth,left_wrist_f150_vel5,0.023828987489744834,-44.526570600114866
depth,left_wrist_f150_vel10,0.03561925824909492,-116.03642388402066
depth,left_wrist_f160_vel3,0.023754367811074203,-44.07399047004471
depth,left_wrist_f160_vel5,0.023982596697721004,-45.4582346941495
depth,left_wrist_f160_vel10,0.023558757994846018,-42.887586057043734
depth,right_knee_f120_vel3,0.02995652728308782,-81.69106669667484
depth,right_knee_f120_vel5,0.03531248772806406,-114.1758122493517
depth,right_knee_f120_vel10,0.03253831526976381,-97.35001837858917
depth,right_knee_f140_vel3,0.04699327156691922,-185.02161007762774
depth,right_knee_f140_vel5,0.042843776353780255,-159.8542666000812
depth,right_knee_f140_vel10,0.03159032608225831,-91.60031431352462
depth,right_knee_f150_vel3,0.06303734553587795,-282.3314513029885
depth,right_knee_f150_vel5,0.052635243197126015,-219.24105861642335
depth,right_knee_f150_vel10,0.035816055369887426,-117.23002948662374
depth,right_knee_f160_vel3,0.03897566654304576,-136.39357000561998
depth,right_knee_f160_vel5,0.033497408827493226,-103.1670722019189
depth,right_knee_f160_vel10,0.031071096990315076,-88.45110790907023
