target,config,alpha,cv_mse,pred_std,n_features
angle,nose_f150,5.0,0.007082045490118712,0.14013248639858755,3
angle,nose_f150,10.0,0.006997948678985977,0.1397032832542848,3
angle,nose_f160,1.0,0.007303548693123564,0.1395805922066178,3
angle,nose_f160,5.0,0.007220145857908234,0.13926067325831973,3
angle,nose_f160,10.0,0.007144377925583525,0.13896227133343497,3
angle,mid_hip_f100,1.0,0.007204593613664199,0.13662853388655347,3
angle,mid_hip_f100,5.0,0.007177573969065468,0.1366594898965287,3
angle,mid_hip_f100,10.0,0.007151292723543225,0.13670024833536437,3
angle,mid_hip_f120,1.0,0.007368809574595887,0.1392894626814999,3
angle,mid_hip_f120,5.0,0.007296321396814114,0.13894969430836207,3
angle,mid_hip_f120,10.0,0.007230108689017344,0.13864231150568673,3
angle,mid_hip_f140,1.0,0.007351676223612703,0.1377984596311293,3
angle,mid_hip_f140,5.0,0.007314192408715279,0.13773596101732766,3
angle,mid_hip_f140,10.0,0.007277403560395975,0.13768551291396403,3
angle,mid_hip_f150,1.0,0.0072202253381178465,0.13903024083728205,3
angle,mid_hip_f150,5.0,0.007169368635779643,0.13877675003825904,3
angle,mid_hip_f150,10.0,0.007126015475508701,0.13855785327644277,3
angle,mid_hip_f160,1.0,0.007535865924435774,0.1381035972932792,3
angle,mid_hip_f160,5.0,0.007469776898910659,0.13801279057482096,3
angle,mid_hip_f160,10.0,0.007406759086435335,0.1379353968394024,3
angle,right_wrist_f120_vel5,1.0,0.007338804088720508,0.14025574129299417,6
angle,right_wrist_f120_vel5,5.0,0.007233860346080898,0.13954803385414677,6
angle,right_wrist_f120_vel5,10.0,0.007182606357838062,0.13923843671008143,6
angle,right_wrist_f120_vel10,1.0,0.007404525448766241,0.13936977646994794,6
angle,right_wrist_f120_vel10,5.0,0.007300309869364986,0.13884316552895234,6
angle,right_wrist_f120_vel10,10.0,0.007244569106333403,0.13859495766424287,6
angle,right_wrist_f140_vel5,1.0,0.007255373371642353,0.14100411946045513,6
angle,right_wrist_f140_vel5,5.0,0.007045479110097701,0.13983942833868165,6
angle,right_wrist_f140_vel5,10.0,0.006928075416061485,0.1390949667190058,6
angle,right_wrist_f140_vel10,1.0,0.007229058915309507,0.14118267788539618,6
angle,right_wrist_f140_vel10,5.0,0.007008249502878041,0.13990786336858385,6
angle,right_wrist_f140_vel10,10.0,0.006901257598117549,0.13915370418325462,6
angle,right_wrist_f150_vel5,1.0,0.007267432008212605,0.14055584465368876,6
angle,right_wrist_f150_vel5,5.0,0.007024223283113613,0.1396126778909442,6
angle,right_wrist_f150_vel5,10.0,0.00691706797317367,0.1390952328809407,6
angle,right_wrist_f150_vel10,1.0,0.007709554930495675,0.14049224256109286,6
angle,right_wrist_f150_vel10,5.0,0.0072876552626862205,0.13931468968723115,6
angle,right_wrist_f150_vel10,10.0,0.00705856108372837,0.13869176853796106,6
angle,right_elbow_f120_vel5,1.0,0.007174019511820678,0.1409850805262806,6
angle,right_elbow_f120_vel5,5.0,0.007115146771870886,0.13999971844043382,6
angle,right_elbow_f120_vel5,10.0,0.007087250936270676,0.13958246230183563,6
angle,right_elbow_f120_vel10,1.0,0.00741990457257103,0.1399776473319441,6
angle,right_elbow_f120_vel10,5.0,0.00731276560907941,0.13964253527991619,6
angle,right_elbow_f120_vel10,10.0,0.007248323466506604,0.13939031454553172,6
angle,right_elbow_f140_vel5,1.0,0.007151366893148809,0.1407829038181698,6
angle,right_elbow_f140_vel5,5.0,0.006944972576167954,0.14004481474342512,6
